,ResNet152
0,"(1.0136934220778466, 0.04204107673022333)"
1,"(1.005981558640233, 0.028702774186320983)"
2,"(1.0059817540293066, 0.02870112354690592)"
3,"(1.0059817540293066, 0.02870112354690592)"
4,"(1.0142546907689252, 0.07889435725128598)"
5,"(1.0090755615258449, 0.08998995697519203)"
6,"(1.0149953806734395, 0.10369644180433435)"
7,"(1.003871183142369, 0.020458191460180766)"
8,"(1.0002322558321253, 0.0043761246243871335)"
