,ResNet101
0,"(1.0010574753118986, 0.03729050989274428)"
1,"(1.0012508874231019, 0.03418545617138991)"
2,"(1.001244485491377, 0.03417269542335918)"
3,"(1.001244485491377, 0.03417269542335918)"
4,"(1.0012361504967955, 0.051839883881583546)"
5,"(1.004804370592292, 0.06672256625061172)"
6,"(1.0249411881475528, 0.13040193440407846)"
7,"(1.0036319460018435, 0.020124129396243456)"
8,"(1.00045051904353, 0.004339870989235487)"
