,ResNet18_Places365
0,"(1.0005623286566359, 0.02747485382067227)"
1,"(1.0020980879856818, 0.01614687969277941)"
2,"(1.0021293193341918, 0.01589703324861565)"
3,"(1.0021293193341918, 0.01589703324861565)"
4,"(1.0083006013680302, 0.056384010669500495)"
5,"(1.034921139159279, 0.2319617666710012)"
6,"(1.084712770859234, 0.589132320321349)"
7,"(1.3385430037121913, 6.80703302073545)"
8,"(1.1070862494183007, 6.242537152146435)"
