,ResNet18_Places365
0,"(0.8818069153390383, 0.006630721268755793)"
1,"(0.8997701428366061, 0.0052929948767938325)"
2,"(0.900498989407966, 0.005159478639156415)"
3,"(0.900498989407966, 0.005159478639156415)"
4,"(0.6960892211475238, 0.00790402352247341)"
5,"(0.4211008247756107, 0.012681571442138571)"
6,"(0.14082916183116023, 0.010933072170891362)"
7,"(0.06805907320834076, 0.012554711174188085)"
8,"(0.06904862851832114, 0.013547934893722925)"
