,ResNet50_Places365
0,"(1.0128777557236948, 0.03906936029322472)"
1,"(1.0028177084138012, 0.018515721240537315)"
2,"(1.0028747508437714, 0.01839910204638154)"
3,"(1.0028747508437714, 0.01839910204638154)"
4,"(1.0095714472449753, 0.03392264712523776)"
5,"(1.027661405860505, 0.08398581631801695)"
6,"(1.2405645437893142, 0.4588361057139439)"
7,"(1.805487017910597, 0.8819021597145064)"
8,"(2.6273318310916736, 1.8913403440769556)"
