,ResNet152
0,"(1.0003101420670097, 0.0490632683806593)"
1,"(1.0011285398731478, 0.03197155113572463)"
2,"(1.0011260410271638, 0.031965760364870116)"
3,"(1.0011260410271638, 0.031965760364870116)"
4,"(1.0008282130719528, 0.07279426075962199)"
5,"(1.0054706985230615, 0.09215503946771203)"
6,"(1.0004626558041323, 0.12388456041673002)"
7,"(0.9988360026185664, 0.02074556687359901)"
8,"(1.0002007601583929, 0.00516415935111959)"
