,ResNet50_Places365
0,"(0.8282318930801955, 0.009282792577743825)"
1,"(0.8868990829131613, 0.006025118086785036)"
2,"(0.887325893929009, 0.0059803316437093725)"
3,"(0.887325893929009, 0.0059803316437093725)"
4,"(0.7603717897113216, 0.006769726302010655)"
5,"(0.5657346917429282, 0.009015898876616194)"
6,"(0.123939774884699, 0.008883300294241381)"
7,"(0.14699825763508925, 0.011030363655323588)"
8,"(0.11513686399759275, 0.012373490223929957)"
