,Vgg19
0,"(1.0050524675975678, 0.01481880678858705)"
1,"(1.0051149891016278, 0.014606485394007664)"
2,"(1.0125769799602915, 0.039443378184252274)"
3,"(1.0126062404471368, 0.039478912778766605)"
4,"(1.0126062404471368, 0.039478912778766605)"
5,"(1.0310045194594906, 0.0747471195038931)"
6,"(1.0310057612024859, 0.07476881993636952)"
7,"(1.0568202423436694, 0.19957168769046135)"
8,"(1.0568203235247842, 0.19957165953258668)"
9,"(1.0568203235247842, 0.19957165953258668)"
10,"(1.0325308593204447, 0.09881191571409449)"
11,"(1.0325269729287545, 0.09881318241494079)"
12,"(1.019694654310081, 0.11191803503453616)"
13,"(1.0196941960373256, 0.11191843587381127)"
14,"(1.0162493041005998, 0.12396957090830718)"
15,"(1.0162481351744852, 0.12396772437129426)"
16,"(1.0337213732714892, 0.16918283978665588)"
17,"(1.0337428712900354, 0.16918148035618688)"
18,"(1.0337428712900354, 0.16918148035618688)"
19,"(1.048939731070754, 0.1719353706430578)"
20,"(1.0489014435838326, 0.17179596987073328)"
21,"(1.0827536462709357, 0.24539697855508208)"
22,"(1.0825698113864124, 0.24549086985975632)"
23,"(1.1230079110324398, 0.35818090127013386)"
24,"(1.1231360055029878, 0.3588830277666968)"
25,"(2.507469948681534, 6.545308054927905)"
26,"(3.0510852722756416, 9.643467976834774)"
27,"(3.0510852722756416, 9.643467976834774)"
28,"(1.3629079119506484, 0.8403972296888077)"
29,"(1.3691482973376146, 0.8560709308393017)"
30,"(-0.16717942033498398, 7.016837295658917)"
31,"(0.2901747912576635, 3.9810098265693106)"
32,"(1.1648268962116268, 1.6858511891972663)"
33,"(1.2279164367018118, 1.8254172458012923)"
34,"(0.6685259598400047, 4.048579089639254)"
35,"(0.8503869613752657, 8.695276428051535)"
36,"(0.8503869613752657, 8.695276428051535)"
