,Vgg19
0,"(0.9378302651861797, 0.003297842327291836)"
1,"(0.938338811652046, 0.003238909349944665)"
2,"(0.8038254631197747, 0.008915592928176076)"
3,"(0.8038107827641805, 0.008914901217255676)"
4,"(0.8038107827641805, 0.008914901217255676)"
5,"(0.6617279923034411, 0.009531666264751772)"
6,"(0.661706592322876, 0.009534978888019751)"
7,"(0.4665199585953433, 0.01548285852150121)"
8,"(0.46652001044926344, 0.015482844932668669)"
9,"(0.46652001044926344, 0.015482844932668669)"
10,"(0.5581962494925192, 0.011019048572276681)"
11,"(0.5581968061401535, 0.011019387412748246)"
12,"(0.5361422280638819, 0.01240893929400754)"
13,"(0.5361389485173643, 0.012409644161237568)"
14,"(0.4840575337080998, 0.011055026482957631)"
15,"(0.4840548238796705, 0.011055324918660922)"
16,"(0.4147335884314929, 0.011831273666448205)"
17,"(0.41473855376076074, 0.011831552252037896)"
18,"(0.41473855376076074, 0.011831552252037896)"
19,"(0.3757157686631818, 0.011751812120399947)"
20,"(0.37566810281912494, 0.011748481999065382)"
21,"(0.3210374286422652, 0.01397318449183442)"
22,"(0.32044050487032966, 0.013952570433432539)"
23,"(0.2466274335281151, 0.01426882429362448)"
24,"(0.245707124546731, 0.01423624221151246)"
25,"(0.1913048542542046, 0.014880639554420422)"
26,"(0.18929026588919015, 0.014819856591319295)"
27,"(0.18929026588919015, 0.014819856591319295)"
28,"(0.2188201756661338, 0.01527141789834409)"
29,"(0.21687335684209869, 0.01515491631512215)"
30,"(0.16535869866401198, 0.014325582819952106)"
31,"(0.15941302005621996, 0.014124993288137102)"
32,"(0.11370401319477003, 0.013449676813286677)"
33,"(0.10994737630869149, 0.01322218457590087)"
34,"(0.08959748815468069, 0.013460622521000427)"
35,"(0.07352503237704701, 0.013117379189910846)"
36,"(0.07352503237704701, 0.013117379189910846)"
